field,frozen_value,assessment,reason
decision_profiles.affinity_value_engine.comparison,"""lexicographic metric vector; no scalar master score""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.tie_behavior,"""practically tied within component materiality tolerances; uncertainty retains both""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.overlap_rationale,"""Functional affinity spell castability is primary; artifact and Metalcraft rates remain descriptive and are excluded from this profile.""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.leave_one_out,"""evaluate one preregistered variant per omitted component""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.decorrelated_variant.metrics.0,"""spell_level_on_time_castability""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.decorrelated_variant.metrics.1,"""critical_sequence_success""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.decorrelated_variant.rationale,"""Both retained endpoints are functional rather than raw artifact-count proxies.""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.0.metric,"""spell_level_on_time_castability""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.0.direction,"""higher""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.0.aggregation,"""desired-window-weighted mean for Thoughtcast/Myr Enforcer/Refurbished Familiar/Utrom Monitor""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.0.turns.0,2,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.0.turns.1,3,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.0.turns.2,4,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.0.scenarios.0,"""weighted_primary""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.0.normalization,"""none""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.0.no_worse_tolerance,0.0025,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.0.materiality_tolerance,0.005,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.0.missing_data,"""error""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.0.uncertainty,"""paired confidence interval""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.1.metric,"""critical_sequence_success""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.1.direction,"""higher""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.1.aggregation,"""mean of preregistered affinity and Cryogen/Hawk sequence predicates""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.1.turns.0,2,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.1.turns.1,3,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.1.turns.2,4,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.1.scenarios.0,"""weighted_primary""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.1.normalization,"""none""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.1.no_worse_tolerance,0.0025,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.1.materiality_tolerance,0.005,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.1.missing_data,"""error""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.affinity_value_engine.metric_vector.1.uncertainty,"""paired confidence interval""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
screening.confidence_level,0.99,FAIL,Holm/family/near-boundary/retention prose lacks executed production procedure.
screening.multiple_comparison_control,"""Holm family-wise alpha 0.01 within each profile and stage""",FAIL,Holm/family/near-boundary/retention prose lacks executed production procedure.
screening.elimination_rule,"""A non-protected candidate may be eliminated only when at least 512 paired trials exist and one retained comparator is statistically no-worse within tolerance on every profile component and materially better on at least one; point estimates alone never eliminate.""",FAIL,Holm/family/near-boundary/retention prose lacks executed production procedure.
screening.near_boundary_rule,"""Retain if any component confidence interval crosses the no-worse or materiality boundary or if profile results conflict.""",FAIL,Holm/family/near-boundary/retention prose lacks executed production procedure.
screening.false_elimination_safety,"""C0 and every 3-Bridge candidate are always retained; all uncertain comparisons are retained; screening eliminations are auditable and reversible from raw rows.""",FAIL,Holm/family/near-boundary/retention prose lacks executed production procedure.
finalist_retention.rule,"""Union of C0; each profile's uncertainty set; all profile-Pareto unresolved candidates; and every candidate within two materiality tolerances of any profile leader.""",FAIL,Union/minimum/soft target rules not computed; all-3-Bridge propagation beyond screening not explicitly realized.
finalist_retention.minimum_finalists,5,FAIL,Union/minimum/soft target rules not computed; all-3-Bridge propagation beyond screening not explicitly realized.
finalist_retention.maximum_soft_target,64,FAIL,Union/minimum/soft target rules not computed; all-3-Bridge propagation beyond screening not explicitly realized.
finalist_retention.target_is_not_a_cap,true,FAIL,Union/minimum/soft target rules not computed; all-3-Bridge propagation beyond screening not explicitly realized.
validation.confidence_level,0.95,FAIL,"Fresh numeric seed only; pairing isolation, multiplicity and adaptive coverage unimplemented."
validation.paired_common_random_numbers,true,FAIL,"Fresh numeric seed only; pairing isolation, multiplicity and adaptive coverage unimplemented."
validation.fresh_seed_required,true,FAIL,"Fresh numeric seed only; pairing isolation, multiplicity and adaptive coverage unimplemented."
validation.adaptive_rule,"""Add 16384-trial validation batches up to 131072 only for comparisons whose paired interval intersects a no-worse or materiality boundary.""",FAIL,"Fresh numeric seed only; pairing isolation, multiplicity and adaptive coverage unimplemented."
validation.multiple_comparison_handling,"""Holm family-wise alpha 0.05 across confirmatory pairwise claims within each profile; exploratory intervals labeled separately.""",FAIL,"Fresh numeric seed only; pairing isolation, multiplicity and adaptive coverage unimplemented."
dominance.exact_dimensions,"""Apply direction and practical tolerances directly.""",PARTIAL,Low-level oriented bound relation implemented; invalid inputs/equivalence/complete dimension set unresolved.
dominance.stochastic_dimensions,"""Use paired confidence bounds; no-worse requires the oriented lower bound >= -no_worse_tolerance; material improvement requires the oriented lower bound > materiality_tolerance.""",PARTIAL,Low-level oriented bound relation implemented; invalid inputs/equivalence/complete dimension set unresolved.
dominance.missing_data,"""Comparison is unresolved; never dominate.""",PARTIAL,Low-level oriented bound relation implemented; invalid inputs/equivalence/complete dimension set unresolved.
dominance.conflict,"""Any materially worse dimension blocks dominance.""",PARTIAL,Low-level oriented bound relation implemented; invalid inputs/equivalence/complete dimension set unresolved.
dominance.frontier_rule,"""Remove a candidate only when another is no-worse on all eligible dimensions and materially better on at least one under the uncertainty rule.""",PARTIAL,Low-level oriented bound relation implemented; invalid inputs/equivalence/complete dimension set unresolved.
robustness_scenarios.0.id,"""baseline_primary""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.0.mulligan,"""baseline_functional_london""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.0.sequencing,"""baseline_hand_demand""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.0.reserve,"""reserve_one_reply""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.0.scry,"""boulder_scry_baseline""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.0.information,"""baseline_information_value""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.0.play_draw,"""weighted_50_50""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.1.id,"""alternate_mulligan""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.1.mulligan,"""alternate_landcount_london""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.1.sequencing,"""baseline_hand_demand""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.1.reserve,"""reserve_one_reply""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.1.scry,"""boulder_scry_baseline""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.1.information,"""baseline_information_value""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.1.play_draw,"""weighted_50_50""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.2.id,"""tempo_tapout""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.2.mulligan,"""baseline_functional_london""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.2.sequencing,"""alternate_tempo_untapped""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.2.reserve,"""tap_out_development""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.2.scry,"""boulder_scry_baseline""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.2.information,"""baseline_information_value""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.2.play_draw,"""weighted_50_50""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.3.id,"""alternate_scry_information""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.3.mulligan,"""baseline_functional_london""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.3.sequencing,"""baseline_hand_demand""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.3.reserve,"""reserve_one_reply""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.3.scry,"""boulder_scry_alternate""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.3.information,"""conservative_information_value""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.3.play_draw,"""weighted_50_50""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.4.id,"""all_play""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.4.mulligan,"""baseline_functional_london""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.4.sequencing,"""baseline_hand_demand""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.4.reserve,"""reserve_one_reply""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.4.scry,"""boulder_scry_baseline""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.4.information,"""baseline_information_value""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.4.play_draw,"""all_play""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.5.id,"""all_draw""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.5.mulligan,"""baseline_functional_london""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.5.sequencing,"""baseline_hand_demand""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.5.reserve,"""reserve_one_reply""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.5.scry,"""boulder_scry_baseline""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.5.information,"""baseline_information_value""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.5.play_draw,"""all_draw""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.6.id,"""target_dependent_options_raw_only""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.6.mulligan,"""baseline_functional_london""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.6.sequencing,"""baseline_hand_demand""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.6.reserve,"""reserve_one_reply""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.6.scry,"""boulder_scry_baseline""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.6.information,"""baseline_information_value""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
robustness_scenarios.6.play_draw,"""weighted_50_50""",FAIL,"Seven labels, no executor; independent scry choices cannot be passed to simulate_trial."
mechanics.registry_path,"""RUN_G_MECHANICS_COVERAGE.csv""",FAIL,Registry hash enforced; relevance labels accepted without behavioral containment.
mechanics.registry_sha256,"""7a732b36e2530783e9d0bd685a0904f93c2b267810c161fa11bd3e534a9cc6f5""",FAIL,Registry hash enforced; relevance labels accepted without behavioral containment.
mechanics.blocking_rule,"""Any ranking-relevant row not IMPLEMENTED + TESTED blocks readiness and execution.""",FAIL,Registry hash enforced; relevance labels accepted without behavioral containment.
outputs.candidate_metrics,"""outputs/phase3/candidate_metrics.parquet_or_csv""",FAIL,Paths/schema names only; ambiguous parquet_or_csv; no complete production writers or joint provenance.
outputs.spell_metrics,"""outputs/phase3/spell_turn_metrics.parquet_or_csv""",FAIL,Paths/schema names only; ambiguous parquet_or_csv; no complete production writers or joint provenance.
outputs.turn_metrics,"""outputs/phase3/turn_metrics.parquet_or_csv""",FAIL,Paths/schema names only; ambiguous parquet_or_csv; no complete production writers or joint provenance.
outputs.paired_differences,"""outputs/phase3/paired_differences.parquet_or_csv""",FAIL,Paths/schema names only; ambiguous parquet_or_csv; no complete production writers or joint provenance.
outputs.screening_decisions,"""outputs/phase3/screening_decisions.jsonl""",FAIL,Paths/schema names only; ambiguous parquet_or_csv; no complete production writers or joint provenance.
outputs.validation_results,"""outputs/phase3/validation_results.jsonl""",FAIL,Paths/schema names only; ambiguous parquet_or_csv; no complete production writers or joint provenance.
outputs.robustness_matrix,"""outputs/phase3/robustness_matrix.csv""",FAIL,Paths/schema names only; ambiguous parquet_or_csv; no complete production writers or joint provenance.
outputs.pareto_frontier,"""outputs/phase3/pareto_frontier.csv""",FAIL,Paths/schema names only; ambiguous parquet_or_csv; no complete production writers or joint provenance.
outputs.stage_manifests,"""outputs/phase3/manifests""",FAIL,Paths/schema names only; ambiguous parquet_or_csv; no complete production writers or joint provenance.
outputs.final_report,"""outputs/phase3/FINAL_PHASE3_REPORT.md""",FAIL,Paths/schema names only; ambiguous parquet_or_csv; no complete production writers or joint provenance.
outputs.required_row_provenance.0,"""candidate_id""",FAIL,Paths/schema names only; ambiguous parquet_or_csv; no complete production writers or joint provenance.
outputs.required_row_provenance.1,"""config_hash""",FAIL,Paths/schema names only; ambiguous parquet_or_csv; no complete production writers or joint provenance.
outputs.required_row_provenance.2,"""policy_hash""",FAIL,Paths/schema names only; ambiguous parquet_or_csv; no complete production writers or joint provenance.
outputs.required_row_provenance.3,"""seed_partition""",FAIL,Paths/schema names only; ambiguous parquet_or_csv; no complete production writers or joint provenance.
outputs.required_row_provenance.4,"""scenario_id""",FAIL,Paths/schema names only; ambiguous parquet_or_csv; no complete production writers or joint provenance.
outputs.required_row_provenance.5,"""metric""",FAIL,Paths/schema names only; ambiguous parquet_or_csv; no complete production writers or joint provenance.
outputs.required_row_provenance.6,"""value""",FAIL,Paths/schema names only; ambiguous parquet_or_csv; no complete production writers or joint provenance.
stop_conditions.0,"""Parent archive, deck, mechanic registry, config, code tree, or policy hash mismatch.""",FAIL,"Some checks implemented; missing-event, lineage, scenario drift and paired-key conditions not fully enforced."
stop_conditions.1,"""Candidate count is not 296706 or C0 does not occur exactly once.""",FAIL,"Some checks implemented; missing-event, lineage, scenario drift and paired-key conditions not fully enforced."
stop_conditions.2,"""Any requested policy is missing or screening and validation policy identities differ outside a labeled robustness scenario.""",FAIL,"Some checks implemented; missing-event, lineage, scenario drift and paired-key conditions not fully enforced."
stop_conditions.3,"""Selection and validation seed partitions overlap or a pairing key is missing/duplicated.""",FAIL,"Some checks implemented; missing-event, lineage, scenario drift and paired-key conditions not fully enforced."
stop_conditions.4,"""Any ranking-relevant mechanic is not IMPLEMENTED + TESTED.""",FAIL,"Some checks implemented; missing-event, lineage, scenario drift and paired-key conditions not fully enforced."
stop_conditions.5,"""Raw-event aggregation detects missing required events, duplicate opportunity IDs, or schema drift.""",FAIL,"Some checks implemented; missing-event, lineage, scenario drift and paired-key conditions not fully enforced."
stop_conditions.6,"""A stage prerequisite or immutable manifest is missing or mismatched.""",FAIL,"Some checks implemented; missing-event, lineage, scenario drift and paired-key conditions not fully enforced."
stop_conditions.7,"""Dry-run/readiness mode is asked to evaluate real candidate performance.""",FAIL,"Some checks implemented; missing-event, lineage, scenario drift and paired-key conditions not fully enforced."
stop_conditions.8,"""Planner depth structural audit fails a preregistered class.""",FAIL,"Some checks implemented; missing-event, lineage, scenario drift and paired-key conditions not fully enforced."
